date,match_id,home_team,away_team,home_goals,away_goals,round
2014-06-12T00:00:00,WC2014-001,Brazil,Croatia,3,1,Group A
2014-06-13T00:00:00,WC2014-002,Mexico,Cameroon,1,0,Group A
2014-06-13T00:00:00,WC2014-003,Spain,Netherlands,1,5,Group B
2014-06-13T00:00:00,WC2014-004,Chile,Australia,3,1,Group B
2014-06-14T00:00:00,WC2014-005,Colombia,Greece,3,0,Group C
2014-06-14T00:00:00,WC2014-006,Ivory Coast,Japan,2,1,Group C
2014-06-14T00:00:00,WC2014-007,Uruguay,Costa Rica,1,3,Group D
2014-06-14T00:00:00,WC2014-008,England,Italy,1,2,Group D
2014-06-15T00:00:00,WC2014-009,Switzerland,Ecuador,2,1,Group E
2014-06-15T00:00:00,WC2014-010,France,Honduras,3,0,Group E
2014-06-15T00:00:00,WC2014-011,Argentina,Bosnia,2,1,Group F
2014-06-16T00:00:00,WC2014-012,Iran,Nigeria,0,0,Group F
2014-06-16T00:00:00,WC2014-013,Germany,Portugal,4,0,Group G
2014-06-16T00:00:00,WC2014-014,Ghana,USA,1,2,Group G
2014-06-17T00:00:00,WC2014-015,Belgium,Algeria,2,1,Group H
2014-06-17T00:00:00,WC2014-016,Russia,South Korea,1,1,Group H
2014-06-17T00:00:00,WC2014-017,Brazil,Mexico,0,0,Group A
2014-06-18T00:00:00,WC2014-018,Cameroon,Croatia,0,4,Group A
2014-06-18T00:00:00,WC2014-019,Spain,Chile,0,2,Group B
2014-06-18T00:00:00,WC2014-020,Australia,Netherlands,2,3,Group B
2014-06-19T00:00:00,WC2014-021,Colombia,Ivory Coast,2,1,Group C
2014-06-19T00:00:00,WC2014-022,Japan,Greece,0,0,Group C
2014-06-19T00:00:00,WC2014-023,Uruguay,England,2,1,Group D
2014-06-20T00:00:00,WC2014-024,Italy,Costa Rica,0,1,Group D
2014-06-20T00:00:00,WC2014-025,Switzerland,France,2,5,Group E
2014-06-20T00:00:00,WC2014-026,Honduras,Ecuador,1,2,Group E
2014-06-21T00:00:00,WC2014-027,Argentina,Iran,1,0,Group F
2014-06-21T00:00:00,WC2014-028,Nigeria,Bosnia,1,0,Group F
2014-06-21T00:00:00,WC2014-029,Germany,Ghana,2,2,Group G
2014-06-22T00:00:00,WC2014-030,USA,Portugal,2,2,Group G
2014-06-22T00:00:00,WC2014-031,Belgium,Russia,1,0,Group H
2014-06-22T00:00:00,WC2014-032,South Korea,Algeria,2,4,Group H
2014-06-23T00:00:00,WC2014-033,Cameroon,Brazil,1,4,Group A
2014-06-23T00:00:00,WC2014-034,Croatia,Mexico,1,3,Group A
2014-06-23T00:00:00,WC2014-035,Australia,Spain,0,3,Group B
2014-06-23T00:00:00,WC2014-036,Netherlands,Chile,2,0,Group B
2014-06-24T00:00:00,WC2014-037,Japan,Colombia,1,4,Group C
2014-06-24T00:00:00,WC2014-038,Greece,Ivory Coast,2,1,Group C
2014-06-24T00:00:00,WC2014-039,Italy,Uruguay,0,1,Group D
2014-06-24T00:00:00,WC2014-040,Costa Rica,England,0,0,Group D
2014-06-25T00:00:00,WC2014-041,Honduras,Switzerland,0,3,Group E
2014-06-25T00:00:00,WC2014-042,Ecuador,France,0,0,Group E
2014-06-25T00:00:00,WC2014-043,Nigeria,Argentina,2,3,Group F
2014-06-25T00:00:00,WC2014-044,Bosnia,Iran,3,1,Group F
2014-06-26T00:00:00,WC2014-045,USA,Germany,0,1,Group G
2014-06-26T00:00:00,WC2014-046,Portugal,Ghana,2,1,Group G
2014-06-26T00:00:00,WC2014-047,South Korea,Belgium,0,1,Group H
2014-06-26T00:00:00,WC2014-048,Algeria,Russia,1,1,Group H
2014-06-28T00:00:00,WC2014-KO01,Brazil,Chile,1,1,Round of 16
2014-06-28T00:00:00,WC2014-KO02,Colombia,Uruguay,2,0,Round of 16
2014-06-29T00:00:00,WC2014-KO03,Netherlands,Mexico,2,1,Round of 16
2014-06-29T00:00:00,WC2014-KO04,Costa Rica,Greece,1,1,Round of 16
2014-06-30T00:00:00,WC2014-KO05,France,Nigeria,2,0,Round of 16
2014-06-30T00:00:00,WC2014-KO06,Germany,Algeria,2,1,Round of 16
2014-07-01T00:00:00,WC2014-KO07,Argentina,Switzerland,1,0,Round of 16
2014-07-01T00:00:00,WC2014-KO08,Belgium,USA,2,1,Round of 16
2014-07-04T00:00:00,WC2014-KO09,France,Germany,0,1,Quarter-finals
2014-07-04T00:00:00,WC2014-KO10,Brazil,Colombia,2,1,Quarter-finals
2014-07-05T00:00:00,WC2014-KO11,Argentina,Belgium,1,0,Quarter-finals
2014-07-05T00:00:00,WC2014-KO12,Netherlands,Costa Rica,0,0,Quarter-finals
2014-07-08T00:00:00,WC2014-KO13,Brazil,Germany,1,7,Semi-finals
2014-07-09T00:00:00,WC2014-KO14,Netherlands,Argentina,0,0,Semi-finals
2014-07-12T00:00:00,WC2014-KO15,Brazil,Netherlands,0,3,Third place
2014-07-13T00:00:00,WC2014-KO16,Germany,Argentina,1,0,Final
